counter,timestamp,deadtime,height_1,height_2,time_difference
10390.0,1770640797.621538,0.008753325878224655,1134.0,1468.0,-86.0
10391.0,1770640797.6286564,0.019974782666401222,855.0,908.0,-87.0
10393.0,1770640797.64104,0.027813133455899683,752.0,1426.0,-86.0
10402.0,1770640797.695554,0.014286374774608165,1135.0,1496.0,-86.0
10403.0,1770640797.696331,0.09184993531694696,253.0,1377.0,-86.0
10404.0,1770640797.698414,0.026555919513336454,586.0,1458.0,-86.0
10405.0,1770640797.7124279,0.005242285500314877,1139.0,512.0,-85.0
10413.0,1770640797.7445252,0.011338934257681687,429.0,356.0,-86.0
10414.0,1770640797.75622,0.00402336410423985,398.0,264.0,-121.0
10415.0,1770640797.7568135,0.08058455114822546,1912.0,255.0,-121.0
10416.0,1770640797.7665632,0.006920669079526558,634.0,1543.0,-273.0
10417.0,1770640797.7704673,0.015160852952052262,1132.0,639.0,-86.0
10418.0,1770640797.7712843,0.08345664397750814,1135.0,1471.0,-86.0
10421.0,1770640797.779885,0.0408997955010225,636.0,866.0,-86.0
10422.0,1770640797.7842326,0.00819445213443331,492.0,1431.0,-86.0
10430.0,1770640797.8110502,0.06609667872410391,451.0,876.0,-87.0
10442.0,1770640797.8631496,0.016323731138545954,280.0,968.0,-85.0
10444.0,1770640797.8698401,0.02189356003260743,1107.0,351.0,-88.0
10446.0,1770640797.8890831,0.018204518909339884,268.0,1291.0,-88.0
10447.0,1770640797.8951209,0.01856858846918489,412.0,1416.0,-86.0
10448.0,1770640797.9007142,0.019950982499892505,617.0,1411.0,-86.0
10449.0,1770640797.9022906,0.0496567140348076,1136.0,1514.0,-86.0
10451.0,1770640797.9100158,0.021195105326365673,654.0,1442.0,-100.0
10452.0,1770640797.910292,0.5677966101694916,326.0,1451.0,-84.0
10460.0,1770640797.9517848,0.019442711582449573,1139.0,1449.0,-85.0
10467.0,1770640797.9675634,0.006068570986819218,487.0,1428.0,-85.0
10472.0,1770640797.980182,0.022933588150979456,290.0,1454.0,-86.0
10474.0,1770640797.9920819,0.011556943777030274,2828.0,1481.0,-253.0
10475.0,1770640797.9945102,0.03014256619144603,400.0,890.0,-88.0
10477.0,1770640797.9987304,0.022431930693069306,611.0,1454.0,-85.0
10481.0,1770640798.0089772,0.015147015147015146,636.0,1409.0,-85.0
10485.0,1770640798.0137465,0.013871506049228202,506.0,1426.0,-86.0
10492.0,1770640798.0388036,0.1738013698630137,714.0,1120.0,-86.0
10498.0,1770640798.0759356,0.007729558577016204,371.0,1492.0,-85.0
10505.0,1770640798.0862546,0.01977152899824253,253.0,674.0,-86.0
10506.0,1770640798.0924866,0.00966331773909042,640.0,423.0,-86.0
10507.0,1770640798.1076283,0.008403625339679248,417.0,1475.0,-87.0
10511.0,1770640798.1243398,0.02864635868468832,732.0,707.0,-86.0
10516.0,1770640798.1323848,0.008540732725305302,391.0,1519.0,-86.0
